review_id,customer_name,age,brand,model,price_usd,price_local,currency,exchange_rate_to_usd,rating,review_text,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,review_length,word_count,helpful_votes,source
11,Richard Marshall,38,Apple,iPhone SE,732.87,A$1121.29,AUD,1.53,4,"Face unlock is instant, super smooth. Loving it so far!",Positive,Australia,English,6/10/2025,FALSE,2,3,4,5,4,55,10,7,BestBuy
12,Bethan Morgan,37,Apple,iPhone SE,986.58,Â£769.53,GBP,0.78,2,Absolutely love this phone! The camera is next level. Best purchase of the year!,Positive,UK,English,1/3/2024,TRUE,1,1,1,1,1,80,14,4,Flipkart
13,Todd Jacobson,36,Apple,iPhone SE,861.12,C$1188.35,CAD,1.38,1,Overheats quickly while gaming. Very disappointed.,Negative,Canada,English,21/2/2023,FALSE,1,1,2,1,1,50,6,1,eBay
14,Carrie Khan,21,Apple,iPhone SE,1454.42,Ø¯.Ø¥5337.72,AED,3.67,3,"Phone is fine, not the best in this range. Okay for casual use.",Neutral,UAE,English,22/7/2023,TRUE,1,1,2,1,1,63,13,1,Flipkart
15,Ms. Jennifer Hill,39,Apple,iPhone SE,955.72,C$1318.89,CAD,1.38,2,Overheats quickly while gaming. Very disappointed.,Negative,Canada,English,4/3/2025,TRUE,1,3,1,1,1,50,6,1,Flipkart
16,Bob Cole,41,Apple,iPhone SE,1279.93,Ø¯.Ø¥4697.34,AED,3.67,3,Smooth performance even after months of use. Loving it so far!,Positive,UAE,English,20/5/2024,TRUE,3,1,5,2,2,62,11,1,Amazon
17,Kelly Allen,22,Apple,iPhone SE,1303.15,A$1993.82,AUD,1.53,4,Worth every penny. Highly recommended! No regrets buying this one.,Positive,Australia,English,10/6/2025,TRUE,3,2,4,5,5,66,10,10,Amazon
18,Randall Johnson,20,Apple,iPhone SE,1432.38,$1432.38,USD,1,3,Design feels premium and stylish. No regrets buying this one.,Positive,USA,English,8/10/2024,TRUE,1,2,1,3,1,61,10,3,BestBuy
19,Mr. Jeffrey Horton,29,Apple,iPhone SE,1015.41,C$1401.27,CAD,1.38,3,Battery life could be slightly better. Okay for casual use.,Neutral,Canada,English,29/2/2024,TRUE,2,4,2,1,3,59,10,4,AliExpress
20,Lesley Hopkins,33,Apple,iPhone SE,1347.28,Â£1050.88,GBP,0.78,1,Customer service was disappointing. Very disappointed.,Negative,UK,English,26/8/2024,TRUE,2,2,1,1,2,54,6,6,Flipkart
21,Megan Henderson,28,Apple,iPhone SE,779.81,Â£608.25,GBP,0.78,2,"Performance is average, camera okay. Okay for casual use.",Neutral,UK,English,5/7/2025,TRUE,3,1,1,3,3,57,9,3,Flipkart
22,Tara Chad,33,Apple,iPhone SE,1229.53,â‚¹102050.99,INR,83,4,Fast charging is a lifesaver. Loving it so far!,Positive,India,Hindi,11/4/2025,TRUE,4,2,3,4,4,47,9,6,Flipkart
23,Anthony Evans,27,Apple,iPhone SE,762.95,C$1052.87,CAD,1.38,4,Loving the clean UI and fast updates. Loving it so far!,Positive,Canada,English,19/7/2023,TRUE,5,4,4,4,2,55,11,9,AliExpress
24,Tom Williams,18,Apple,iPhone SE,1131.38,A$1731.01,AUD,1.53,3,Not bad for daily use but could be optimized. Fine but could be better.,Neutral,Australia,English,31/3/2025,TRUE,4,4,1,2,3,71,14,1,AliExpress
25,Hemang Taneja,28,Apple,iPhone SE,701.5,â‚¹58224.5,INR,83,4,Smooth performance even after months of use. Absolutely worth it!,Positive,India,Hindi,28/5/2023,TRUE,5,4,3,4,3,65,10,5,AliExpress
26,Ryan Chatterjee,27,Apple,iPhone SE,1327.61,â‚¹110191.63,INR,83,3,"Phone is fine, not the best in this range. Okay for casual use.",Neutral,India,Hindi,30/11/2022,TRUE,4,2,3,4,4,63,13,1,Amazon
27,Andrew Gonzales,18,Apple,iPhone SE,1014.94,C$1400.62,CAD,1.38,5,Fast charging is a lifesaver. Loving it so far!,Positive,Canada,English,5/12/2023,TRUE,4,5,4,4,5,47,9,4,BestBuy
28,Univ.Prof. Edward Heuser MBA.,29,Apple,iPhone SE,774.06,â‚¬719.88,EUR,0.93,3,Battery life could be slightly better. Fine but could be better.,Neutral,Germany,German,27/12/2024,TRUE,2,1,2,2,3,64,11,2,BestBuy
29,Terry Jones,35,Apple,iPhone SE,771.21,A$1179.95,AUD,1.53,4,Worth every penny. Highly recommended! Best purchase of the year!,Positive,Australia,English,20/8/2023,TRUE,4,4,5,5,4,65,10,8,Amazon
30,Valentina Fernandes,37,Apple,iPhone SE,1246.76,R$7106.53,BRL,5.7,2,Software updates are delayed sometimes. Fine but could be better.,Neutral,Brazil,Portuguese,25/8/2024,TRUE,1,2,3,2,2,65,10,1,Flipkart
31,Alex Wagner,32,Apple,iPhone SE,1288.84,C$1778.6,CAD,1.38,4,"Face unlock is instant, super smooth. Loving it so far!",Positive,Canada,English,1/5/2023,TRUE,4,4,2,4,3,55,10,3,Flipkart
32,Patricia Reinhardt,18,Apple,iPhone SE,1498.62,â‚¬1393.72,EUR,0.93,3,Design feels premium and stylish. Best purchase of the year!,Positive,Germany,German,16/6/2025,TRUE,3,1,3,2,3,60,10,8,AliExpress
33,Ms Hannah Nicholls,18,Apple,iPhone SE,910.81,Â£710.43,GBP,0.78,2,Charging is very slow compared to other brands. Not up to the mark.,Negative,UK,English,30/3/2025,TRUE,4,2,1,1,2,67,13,2,Flipkart
34,Rosa Eimer B.A.,25,Apple,iPhone SE,1403.46,â‚¬1305.22,EUR,0.93,3,Loving the clean UI and fast updates. Absolutely worth it!,Positive,Germany,German,24/7/2024,TRUE,3,2,2,3,2,58,10,2,Flipkart
35,Susan Bush,39,Apple,iPhone SE,736.58,Ø¯.Ø¥2703.25,AED,3.67,1,Battery drains too fast even on standby. Returning this soon.,Negative,UAE,English,24/7/2025,TRUE,1,2,2,1,3,61,10,1,AliExpress
36,Dra. Maya da Mota,21,Apple,iPhone SE,1158.2,R$6601.74,BRL,5.7,4,Build quality feels solid and durable. No regrets buying this one.,Positive,Brazil,Portuguese,2/5/2024,TRUE,4,4,3,3,4,66,11,3,Amazon
37,Prof. Miroslav Gehringer B.A.,37,Apple,iPhone SE,1475.52,â‚¬1372.23,EUR,0.93,2,Phone lags often after a few apps. Returning this soon.,Negative,Germany,German,14/9/2024,FALSE,3,1,2,1,1,55,10,2,BestBuy
38,Karen Garza,41,Apple,iPhone SE,1148.96,$1148.96,USD,1,2,"Design is okay, a bit bulky though. Average experience overall.",Neutral,USA,English,23/7/2025,TRUE,1,2,1,2,2,63,10,3,Amazon
39,Samantha Jacobs,32,Apple,iPhone SE,1337.28,Ø¯.Ø¥4907.82,AED,3.67,2,"Design is okay, a bit bulky though. Okay for casual use.",Neutral,UAE,English,24/7/2023,FALSE,2,1,1,1,3,56,11,2,eBay
40,Loretta Heser,18,Apple,iPhone SE,1438.34,â‚¬1337.66,EUR,0.93,4,Design feels premium and stylish. Loving it so far!,Positive,Germany,German,8/8/2023,FALSE,5,4,5,4,3,51,9,5,eBay
41,Sheena Davidson,30,Apple,iPhone SE,1051.07,Ø¯.Ø¥3857.43,AED,3.67,1,Customer service was disappointing. Returning this soon.,Negative,UAE,English,29/3/2024,TRUE,2,1,1,2,2,56,7,3,Amazon
42,Eric Smith,30,Apple,iPhone SE,1493.57,Ø¯.Ø¥5481.4,AED,3.67,3,Battery life could be slightly better. Fine but could be better.,Neutral,UAE,English,21/5/2023,TRUE,1,1,2,2,4,64,11,1,AliExpress
43,Hellena da Luz,30,Apple,iPhone SE,879.48,R$5013.04,BRL,5.7,1,Customer service was disappointing. Returning this soon.,Negative,Brazil,Portuguese,22/2/2023,TRUE,1,1,1,1,1,56,7,4,eBay
44,Srta. Isabel Borges,56,Apple,iPhone SE,1268.08,R$7228.06,BRL,5.7,1,Battery drains too fast even on standby. Very disappointed.,Negative,Brazil,Portuguese,13/6/2023,TRUE,1,1,1,1,1,59,9,2,AliExpress
45,Thales Cunha,50,Apple,iPhone SE,912.87,R$5203.36,BRL,5.7,3,Display is crisp and vibrant â€” perfect for gaming. Absolutely worth it!,Positive,Brazil,Portuguese,5/4/2024,TRUE,4,1,2,2,2,71,12,8,eBay
46,Alan Lee-Hamilton,20,Apple,iPhone SE,946.71,Â£738.43,GBP,0.78,3,Build quality feels solid and durable. Loving it so far!,Positive,UK,English,22/9/2023,TRUE,3,2,5,4,2,56,10,4,Amazon
47,David Evans,37,Apple,iPhone SE,755.53,$755.53,USD,1,4,Battery easily lasts a day with heavy use. No regrets buying this one.,Positive,USA,English,26/3/2025,TRUE,5,3,5,5,4,70,13,2,Flipkart
48,James Duncan,26,Apple,iPhone SE,1378.36,A$2108.89,AUD,1.53,3,Absolutely love this phone! The camera is next level. Absolutely worth it!,Positive,Australia,English,11/3/2025,FALSE,2,2,2,1,5,74,12,6,eBay
49,Dra. JÃºlia AragÃ£o,20,Apple,iPhone SE,1494.41,R$8518.14,BRL,5.7,3,Display is crisp and vibrant â€” perfect for gaming. Loving it so far!,Positive,Brazil,Portuguese,13/10/2024,TRUE,3,4,3,3,3,68,13,5,eBay
50,Ekansh Walia,26,Apple,iPhone SE,1108.88,â‚¹92037.04,INR,83,1,"Phone hangs often, regret buying it. Wouldnâ€™t recommend.",Negative,India,Hindi,23/4/2023,TRUE,1,2,1,1,1,56,8,3,Amazon
51,Kashvi Gour,33,Apple,iPhone SE,1116.14,â‚¹92639.62,INR,83,3,Fast charging is a lifesaver. Absolutely worth it!,Positive,India,Hindi,14/6/2024,FALSE,3,2,3,3,3,50,8,4,BestBuy
52,Victoria Williams,30,Apple,iPhone SE,840.88,C$1160.41,CAD,1.38,1,"Phone hangs often, regret buying it. Very disappointed.",Negative,Canada,English,14/6/2024,TRUE,2,1,1,2,1,55,8,3,eBay
53,Amy Cole,18,Apple,iPhone SE,1325.64,Â£1034.0,GBP,0.78,4,Design feels premium and stylish. Loving it so far!,Positive,UK,English,2/7/2025,TRUE,5,1,2,4,4,51,9,5,Amazon
54,Karen Burton,34,Apple,iPhone SE,1373.96,C$1896.06,CAD,1.38,4,Build quality feels solid and durable. Best purchase of the year!,Positive,Canada,English,2/2/2025,TRUE,3,3,4,3,4,65,11,6,Flipkart
55,Joaquim Cavalcante,18,Apple,iPhone SE,856.81,R$4883.82,BRL,5.7,4,Build quality feels solid and durable. Absolutely worth it!,Positive,Brazil,Portuguese,9/2/2023,TRUE,3,3,3,3,5,59,9,5,BestBuy
56,Mark Lane,24,Apple,iPhone SE,1104.35,A$1689.66,AUD,1.53,4,Battery life could be slightly better. Average experience overall.,Neutral,Australia,English,29/3/2025,TRUE,2,2,4,4,3,66,9,1,AliExpress
57,Joseph Graham,36,Apple,iPhone SE,1297.48,C$1790.52,CAD,1.38,2,Customer service was disappointing. Wouldnâ€™t recommend.,Negative,Canada,English,13/1/2024,TRUE,3,2,1,2,1,55,6,0,Amazon
58,Daniel Valdez,22,Apple,iPhone SE,1009.73,Ø¯.Ø¥3705.71,AED,3.67,3,"Design is okay, a bit bulky though. Fine but could be better.",Neutral,UAE,English,11/1/2025,TRUE,3,4,4,3,2,61,12,2,eBay
59,Michael Sawyer,43,Apple,iPhone SE,1052.7,C$1452.73,CAD,1.38,3,"Does what itâ€™s supposed to, nothing special. Average experience overall.",Neutral,Canada,English,10/6/2023,TRUE,3,2,2,2,3,72,10,3,BestBuy
60,Daniel Duarte,40,Apple,iPhone SE,743.29,R$4236.75,BRL,5.7,3,"Performance is average, camera okay. Okay for casual use.",Neutral,Brazil,Portuguese,10/10/2023,TRUE,3,3,2,4,2,57,9,2,AliExpress
61,Kristen Hall,26,Apple,iPhone SE,1072.25,A$1640.54,AUD,1.53,1,Neutral feelings â€” neither great nor bad. Average experience overall.,Neutral,Australia,English,22/7/2024,TRUE,3,1,1,2,1,69,10,2,Flipkart
62,Dr Geoffrey Jones,44,Apple,iPhone SE,1363.03,Â£1063.16,GBP,0.78,3,Fast charging is a lifesaver. No regrets buying this one.,Positive,UK,English,12/1/2024,TRUE,1,3,2,1,2,57,10,7,AliExpress
63,Amanda Moore,24,Apple,iPhone SE,1023.01,$1023.01,USD,1,1,Speaker quality is bad and muffled. Returning this soon.,Negative,USA,English,21/5/2023,TRUE,2,1,1,1,1,56,9,3,BestBuy
64,Adweta Ganguly,31,Apple,iPhone SE,1369.6,â‚¹113676.8,INR,83,4,Worth every penny. Highly recommended! Best purchase of the year!,Positive,India,Hindi,7/1/2023,TRUE,5,5,3,5,3,65,10,5,BestBuy
65,Maria Miller,19,Apple,iPhone SE,1482.9,Ø¯.Ø¥5442.24,AED,3.67,2,Build quality feels solid and durable. Absolutely worth it!,Positive,UAE,English,19/10/2024,TRUE,3,1,2,2,3,59,9,5,eBay
66,Bernard Hughes,28,Apple,iPhone SE,963.38,Â£751.44,GBP,0.78,5,Fast charging is a lifesaver. Best purchase of the year!,Positive,UK,English,8/6/2023,TRUE,4,4,5,5,4,56,10,9,eBay
67,Faras Pingle,35,Apple,iPhone SE,1268.9,â‚¹105318.7,INR,83,3,Neutral feelings â€” neither great nor bad. Average experience overall.,Neutral,India,Hindi,7/9/2025,FALSE,3,2,2,3,3,69,10,2,AliExpress
68,Carolina da Rosa,43,Apple,iPhone SE,882.21,R$5028.6,BRL,5.7,1,Overheats quickly while gaming. Wouldnâ€™t recommend.,Negative,Brazil,Portuguese,22/3/2025,TRUE,1,1,1,1,1,51,6,2,eBay
69,Theodoro Monteiro,33,Apple,iPhone SE,1429,R$8145.3,BRL,5.7,2,"Overall decent, but expected a bit more for the price. Fine but could be better.",Neutral,Brazil,Portuguese,13/7/2023,TRUE,1,1,2,1,2,80,15,1,BestBuy
70,Daniel Turner,46,Apple,iPhone SE,1017.89,Ø¯.Ø¥3735.66,AED,3.67,5,Smooth performance even after months of use. Best purchase of the year!,Positive,UAE,English,9/5/2025,TRUE,4,2,4,3,5,71,12,2,AliExpress
71,Geraldine King,23,Apple,iPhone SE,800.18,Â£624.14,GBP,0.78,5,Build quality feels solid and durable. No regrets buying this one.,Positive,UK,English,8/6/2023,TRUE,5,5,4,5,5,66,11,9,Flipkart
72,Tara Sanders,22,Apple,iPhone SE,1239.02,Ø¯.Ø¥4547.2,AED,3.67,3,"Performance is average, camera okay. Average experience overall.",Neutral,UAE,English,12/2/2024,FALSE,2,4,1,3,1,64,8,3,eBay
73,Christopher Vasquez,28,Apple,iPhone SE,1190.98,A$1822.2,AUD,1.53,5,Display is crisp and vibrant â€” perfect for gaming. No regrets buying this one.,Positive,Australia,English,21/3/2023,TRUE,4,3,4,3,5,78,14,7,eBay
74,Anay Parsa,29,Apple,iPhone SE,756.85,â‚¹62818.55,INR,83,4,Worth every penny. Highly recommended! Loving it so far!,Positive,India,Hindi,1/1/2023,TRUE,4,3,4,4,2,56,9,7,Flipkart
75,Natalie Hardy,19,Apple,iPhone SE,727.64,C$1004.14,CAD,1.38,4,Design feels premium and stylish. No regrets buying this one.,Positive,Canada,English,2/8/2025,TRUE,3,4,4,3,3,61,10,6,eBay
76,Julius Mies,18,Apple,iPhone SE,1101.03,â‚¬1023.96,EUR,0.93,2,Sound quality is okay but not very loud. Average experience overall.,Neutral,Germany,German,24/2/2024,TRUE,3,1,2,1,1,68,11,1,Flipkart
77,Brittany Campbell,28,Apple,iPhone SE,1103.6,C$1522.97,CAD,1.38,5,Smooth performance even after months of use. Best purchase of the year!,Positive,Canada,English,20/8/2025,TRUE,4,4,5,5,4,71,12,5,AliExpress
78,Alexa Barber,18,Apple,iPhone SE,879.96,Ø¯.Ø¥3229.45,AED,3.67,3,Smooth performance even after months of use. No regrets buying this one.,Positive,UAE,English,3/4/2025,TRUE,2,3,3,3,1,72,12,3,eBay
79,Daniel Martin,35,Apple,iPhone SE,1029.77,A$1575.55,AUD,1.53,4,Loving the clean UI and fast updates. Best purchase of the year!,Positive,Australia,English,13/3/2025,TRUE,3,4,3,3,5,64,12,5,eBay
80,Paul Miller,28,Apple,iPhone SE,1494.54,A$2286.65,AUD,1.53,3,Design feels premium and stylish. No regrets buying this one.,Positive,Australia,English,3/5/2023,FALSE,3,2,2,2,3,61,10,3,Flipkart
81,Franz Josef Ebert,18,Apple,iPhone SE,779.45,â‚¬724.89,EUR,0.93,3,Battery easily lasts a day with heavy use. Loving it so far!,Positive,Germany,German,24/1/2025,TRUE,2,4,4,3,3,60,12,5,Flipkart
82,Sabrina Rodrigues,32,Apple,iPhone SE,944.02,R$5380.91,BRL,5.7,3,"Design is okay, a bit bulky though. Okay for casual use.",Neutral,Brazil,Portuguese,7/5/2023,FALSE,4,3,3,3,3,56,11,4,eBay
83,Jonathan Saunders,21,Apple,iPhone SE,844.38,A$1291.9,AUD,1.53,3,"Design is okay, a bit bulky though. Fine but could be better.",Neutral,Australia,English,24/10/2023,FALSE,2,3,2,1,2,61,12,2,BestBuy
84,Kiaan Rege,35,Apple,iPhone SE,1286.05,â‚¹106742.15,INR,83,5,Build quality feels solid and durable. Best purchase of the year!,Positive,India,Hindi,28/5/2025,TRUE,4,2,4,4,4,65,11,1,BestBuy
85,Jeremy Nguyen,39,Apple,iPhone SE,1466.22,C$2023.38,CAD,1.38,3,Smooth performance even after months of use. Loving it so far!,Positive,Canada,English,3/9/2023,TRUE,1,2,4,3,3,62,11,6,Amazon
86,Ashley Fitzgerald,24,Apple,iPhone SE,1143.82,$1143.82,USD,1,1,Not worth the money spent. Not up to the mark.,Negative,USA,English,30/3/2024,TRUE,2,2,1,1,1,46,10,1,Flipkart
87,Anthony Long,38,Apple,iPhone SE,1471.48,$1471.48,USD,1,5,Battery easily lasts a day with heavy use. No regrets buying this one.,Positive,USA,English,8/3/2025,TRUE,5,5,4,5,5,70,13,4,BestBuy
88,Dr. John Ramirez,35,Apple,iPhone SE,878.03,C$1211.68,CAD,1.38,3,Sound quality is okay but not very loud. Average experience overall.,Neutral,Canada,English,20/12/2022,TRUE,2,2,3,4,2,68,11,2,eBay
89,Univ.Prof. Heinz-JÃ¼rgen Klapp,30,Apple,iPhone SE,790.21,â‚¬734.9,EUR,0.93,4,Worth every penny. Highly recommended! Absolutely worth it!,Positive,Germany,German,2/10/2025,TRUE,2,4,4,5,4,59,8,5,Flipkart
90,Felipe Marques,20,Apple,iPhone SE,1327.09,R$7564.41,BRL,5.7,4,Build quality feels solid and durable. Loving it so far!,Positive,Brazil,Portuguese,17/8/2024,TRUE,1,5,3,3,4,56,10,5,AliExpress
91,Hemang Chakraborty,31,Apple,iPhone SE,1175.92,â‚¹97601.36,INR,83,5,Build quality feels solid and durable. Loving it so far!,Positive,India,Hindi,27/7/2025,TRUE,4,5,5,4,3,56,10,5,AliExpress
92,Anthony Gabriel Alves,23,Apple,iPhone SE,1279.67,R$7294.12,BRL,5.7,4,Display is crisp and vibrant â€” perfect for gaming. No regrets buying this one.,Positive,Brazil,Portuguese,17/6/2023,TRUE,3,3,2,3,3,78,14,4,AliExpress
93,Paula Lopez,22,Apple,iPhone SE,759.55,C$1048.18,CAD,1.38,3,"Design is okay, a bit bulky though. Average experience overall.",Neutral,Canada,English,31/7/2025,TRUE,2,4,1,1,3,63,10,3,BestBuy
94,Monique Henderson,45,Apple,iPhone SE,932.92,Ø¯.Ø¥3423.82,AED,3.67,4,Battery easily lasts a day with heavy use. Loving it so far!,Positive,UAE,English,21/1/2024,TRUE,3,3,4,4,2,60,12,6,Amazon
95,Tamanna Dhar,33,Apple,iPhone SE,1015.31,â‚¹84270.73,INR,83,1,"Overall decent, but expected a bit more for the price. Fine but could be better.",Neutral,India,Hindi,10/11/2022,TRUE,1,1,1,1,1,80,15,3,AliExpress
96,Jagvi Jhaveri,38,Apple,iPhone SE,700.01,â‚¹58100.83,INR,83,2,"Performance is average, camera okay. Fine but could be better.",Neutral,India,Hindi,9/3/2023,FALSE,1,2,3,2,1,62,10,2,BestBuy
97,Walter Garcia,37,Apple,iPhone SE,1106.29,$1106.29,USD,1,5,Design feels premium and stylish. Absolutely worth it!,Positive,USA,English,1/12/2023,TRUE,3,5,4,5,4,54,8,8,Flipkart
98,Curtis Torres,18,Apple,iPhone SE,844.75,A$1292.47,AUD,1.53,2,"Does what itâ€™s supposed to, nothing special. Fine but could be better.",Neutral,Australia,English,26/1/2024,TRUE,2,1,1,4,1,70,12,2,BestBuy
99,Laura Wells,27,Apple,iPhone SE,1494.25,A$2286.2,AUD,1.53,2,Software updates are delayed sometimes. Fine but could be better.,Neutral,Australia,English,20/4/2024,TRUE,2,2,1,1,3,65,10,2,eBay
100,Steven Castaneda,45,Apple,iPhone SE,1464.06,Ø¯.Ø¥5373.1,AED,3.67,3,Smooth performance even after months of use. No regrets buying this one.,Positive,UAE,English,3/2/2023,TRUE,3,3,1,3,2,72,12,2,Amazon
101,Roberta Ferguson,31,Apple,iPhone SE,1137.4,C$1569.61,CAD,1.38,5,Display is crisp and vibrant â€” perfect for gaming. Best purchase of the year!,Positive,Canada,English,2/6/2024,TRUE,5,4,3,4,5,77,14,2,BestBuy
102,Arya Rajagopalan,18,Apple,iPhone SE,1025.3,â‚¹85099.9,INR,83,1,Battery drains too fast even on standby. Very disappointed.,Negative,India,Hindi,29/11/2024,TRUE,2,2,1,1,2,59,9,3,Amazon
103,Brittany Snyder,39,Apple,iPhone SE,1219.22,A$1865.41,AUD,1.53,3,"Face unlock is instant, super smooth. No regrets buying this one.",Positive,Australia,English,25/8/2023,TRUE,4,3,3,2,2,65,11,6,AliExpress
104,Katy Mitchell-Bennett,49,Apple,iPhone SE,899.64,Â£701.72,GBP,0.78,3,"Phone is fine, not the best in this range. Okay for casual use.",Neutral,UK,English,22/8/2025,TRUE,1,2,1,1,2,63,13,3,eBay
105,Sophie Rocha,25,Apple,iPhone SE,1247.56,R$7111.09,BRL,5.7,4,Loving the clean UI and fast updates. No regrets buying this one.,Positive,Brazil,Portuguese,14/2/2023,FALSE,4,3,4,4,5,65,12,6,eBay
106,Darika Sem,28,Apple,iPhone SE,1351.31,â‚¹112158.73,INR,83,2,Sound quality is okay but not very loud. Fine but could be better.,Neutral,India,Hindi,19/7/2024,TRUE,2,1,1,1,1,66,13,3,Flipkart
107,Douglas Johnson,33,Apple,iPhone SE,1105.96,A$1692.12,AUD,1.53,1,Customer service was disappointing. Very disappointed.,Negative,Australia,English,29/6/2025,TRUE,1,2,1,1,1,54,6,3,Flipkart
108,Dr. Heinz-Otto Drewes,29,Apple,iPhone SE,1246.07,â‚¬1158.85,EUR,0.93,4,"Face unlock is instant, super smooth. Absolutely worth it!",Positive,Germany,German,21/12/2022,TRUE,3,2,4,5,4,58,9,3,BestBuy
109,Franziska PreiÃŸ,48,Apple,iPhone SE,1475.49,â‚¬1372.21,EUR,0.93,1,Customer service was disappointing. Not up to the mark.,Negative,Germany,German,26/2/2024,TRUE,1,1,1,1,1,55,9,2,BestBuy
110,Derek Thompson,32,Apple,iPhone SE,1187.23,C$1638.38,CAD,1.38,4,Fast charging is a lifesaver. Absolutely worth it!,Positive,Canada,English,30/12/2022,TRUE,4,5,4,1,4,50,8,5,AliExpress
111,Roberto Johnson,37,Apple,iPhone SE,1309.35,$1309.35,USD,1,5,Absolutely love this phone! The camera is next level. No regrets buying this one.,Positive,USA,English,7/8/2024,TRUE,5,3,4,5,5,81,14,4,BestBuy
112,Dr. Albert TrÃ¶st B.Eng.,38,Apple,iPhone SE,1364.75,â‚¬1269.22,EUR,0.93,3,Not bad for daily use but could be optimized. Okay for casual use.,Neutral,Germany,German,30/9/2023,TRUE,2,3,3,4,3,66,13,1,Flipkart
113,John Moore,18,Apple,iPhone SE,1394.13,C$1923.9,CAD,1.38,5,Absolutely love this phone! The camera is next level. No regrets buying this one.,Positive,Canada,English,17/4/2025,TRUE,4,3,5,5,5,81,14,5,Amazon
114,Claus-Dieter Schlosser-Hornich,32,Apple,iPhone SE,1329.58,â‚¬1236.51,EUR,0.93,3,Worth every penny. Highly recommended! No regrets buying this one.,Positive,Germany,German,9/6/2024,FALSE,4,1,3,2,3,66,10,3,BestBuy
115,Veda Raghavan,35,Apple,iPhone SE,1181,â‚¹98023.0,INR,83,4,"Face unlock is instant, super smooth. Absolutely worth it!",Positive,India,Hindi,13/11/2022,TRUE,2,3,3,1,4,58,9,1,BestBuy
116,Cilli Benthin B.Eng.,26,Apple,iPhone SE,861.13,â‚¬800.85,EUR,0.93,3,"Face unlock is instant, super smooth. Loving it so far!",Positive,Germany,German,25/2/2025,TRUE,2,4,2,3,3,55,10,4,BestBuy
117,Adam Jordan,28,Apple,iPhone SE,1150.78,$1150.78,USD,1,4,Absolutely love this phone! The camera is next level. Loving it so far!,Positive,USA,English,13/4/2023,TRUE,5,3,3,3,5,71,13,3,AliExpress
118,Regina Renner,28,Apple,iPhone SE,1401.86,â‚¬1303.73,EUR,0.93,4,"Face unlock is instant, super smooth. No regrets buying this one.",Positive,Germany,German,24/11/2024,TRUE,4,3,5,3,3,65,11,3,Flipkart
119,Steven Gonzales,26,Apple,iPhone SE,1276.3,C$1761.29,CAD,1.38,2,Display started flickering after a month. Wouldnâ€™t recommend.,Negative,Canada,English,26/5/2024,TRUE,1,3,2,1,2,61,8,0,eBay
